aav2020;nb_docteurs_pondere;population_2023_aav
222;1.0;35494.0
223;0.5;33615.0
224;1.607575757;35263.0
225;0.0;33756.0
226;1.0;34663.0
227;0.666666666;33395.0
228;2.5;34163.0
229;1.0;34369.0
230;2.0;32437.0
231;2.2;39085.0
232;0.0;31148.0
233;0.0;32377.0
234;4.683333331;32449.0
235;2.0;31084.0
236;6.869047624;32571.0
237;1.2;31468.0
238;3.833333333;32576.0
239;2.833333333;31200.0
240;2.5;31052.0
241;0.0;30391.0
242;2.0;29768.0
243;2.0;32978.0
244;2.0;30533.0
245;3.0;30080.0
246;0.0;29321.0
247;4.083333333;30387.0
248;0.0;28530.0
249;2.5;31270.0
250;1.0;30001.0
251;0.666666666;31077.0
252;3.983333333;28468.0
253;2.65;29567.0
254;2.75;29199.0
255;2.0;30334.0
256;4.625000003;28369.0
257;1.0;28772.0
258;1.950000003;28721.0
259;2.0;27775.0
260;0.333333333;27184.0
261;1.371108057;30060.0
262;2.5;26439.0
263;0.0;26753.0
264;1.916666666;27565.0
265;2.0;26962.0
266;2.083333332;30524.0
267;1.7;27725.0
268;0.583333333;27630.0
269;0.75;26203.0
270;0.5;25722.0
271;0.0;26255.0
272;1.666666666;25971.0
273;2.0;25296.0
274;2.333333333;25713.0
275;2.0;24026.0
276;0.0;24427.0
277;0.0;24373.0
278;2.0;25632.0
279;0.0;24357.0
280;1.0;23970.0
281;0.333333333;25618.0
282;3.083333333;24740.0
283;0.0;23890.0
284;2.333333333;24595.0
285;2.0;24057.0
286;3.142857143;24829.0
287;1.5;23340.0
288;0.65;23872.0
289;0.5;24572.0
290;1.0;23304.0
291;0.2;23267.0
292;0.5;23736.0
293;0.0;22702.0
294;2.583333333;23697.0
295;0.0;23905.0
296;0.25;23285.0
297;0.333333333;21871.0
298;2.833333333;23771.0
299;6.733333335;22547.0
300;1.5;22822.0
301;2.4166666660000002;24202.0
302;7.4396978;24716.0
303;6.9761904789999996;21760.0
304;2.333333333;23457.0
305;1.416666666;22561.0
306;2.583333333;23726.0
307;0.0;21829.0
308;0.0;20831.0
309;0.646825397;21413.0
310;2.027472525;21905.0
311;1.5;20921.0
312;0.983333333;21273.0
313;0.0;22129.0
314;1.833333334;21266.0
315;2.0;20810.0
316;1.25;20977.0
317;0.0;20246.0
318;1.0;19049.0
319;0.285714286;18759.0
320;0.0;20800.0
321;0.0;19000.0
322;0.0;19922.0
323;0.0;19533.0
324;0.0;19489.0
325;1.5;19865.0
326;0.0;18661.0
327;0.5;19713.0
328;3.4166666660000002;18559.0
329;0.0;19147.0
330;0.0;17720.0
331;0.0;18169.0
332;0.366666667;18695.0
333;1.0;18022.0
334;0.0;17566.0
335;0.0;18849.0
336;0.25;17708.0
337;0.0;18076.0
338;1.809523811;17556.0
339;0.0;17740.0
340;0.0;17138.0
341;0.333333333;17857.0
342;2.0;18165.0
343;0.0;17754.0
344;1.0;17353.0
345;4.0;16601.0
346;1.7;15515.0
347;0.0;16933.0
348;2.0;16236.0
349;2.6666666660000002;17243.0
350;0.0;15953.0
351;0.0;16129.0
352;1.6666666669999999;15837.0
353;0.0;16454.0
354;0.458333333;16409.0
355;2.033333333;16554.0
356;3.009523808;16448.0
357;0.7;17273.0
358;1.0;16129.0
359;2.0;15824.0
360;0.0;15753.0
361;1.0;15555.0
362;0.0;15354.0
363;2.3333333339999998;15462.0
364;1.553846155;15874.0
365;0.0;15009.0
366;0.0;15700.0
367;2.0;15749.0
368;1.0;14995.0
369;1.749999999;15400.0
370;0.333333333;13729.0
371;2.0;15830.0
372;1.0;14122.0
373;2.267857143;14676.0
374;1.8333333330000001;15069.0
375;0.0;14968.0
376;0.0;15356.0
377;1.0;14914.0
378;3.75;14018.0
379;0.0;14443.0
380;0.5;13027.0
381;0.7250000000000001;13520.0
382;0.0;13886.0
383;0.0;13528.0
384;0.0;14154.0
385;0.0;13809.0
386;0.0;13883.0
387;0.0;14696.0
388;1.816666667;13863.0
389;1.0;12743.0
390;1.125;14383.0
391;1.369047619;14306.0
392;0.0;13424.0
393;1.0;13391.0
394;0.0;14207.0
395;0.25;13418.0
396;0.333333333;13796.0
397;0.0;12976.0
398;0.0;13219.0
399;1.5;14145.0
400;0.5;13051.0
401;0.0;13295.0
402;0.0;12996.0
403;0.0;12882.0
404;2.0;12918.0
405;0.5;13836.0
406;1.0;12705.0
407;2.166666667;13012.0
408;0.5;13842.0
409;0.0;12587.0
410;0.333333333;13163.0
411;0.0;12956.0
412;0.0;12491.0
413;0.0;12233.0
414;1.75;13038.0
415;0.75;11830.0
416;2.0;11999.0
417;0.0;12201.0
418;0.325;12126.0
419;0.555555555;11634.0
420;0.487179487;12775.0
421;2.823031134;12386.0
422;0.0;11977.0
423;0.0;11913.0
424;0.0;11861.0
425;0.39285714299999996;11837.0
426;1.0;12063.0
427;0.5;12633.0
428;0.0;11568.0
429;0.0;11432.0
430;0.0;12686.0
431;0.0;12089.0
432;0.0;12608.0
433;0.0;11712.0
434;0.5;11929.0
435;1.0;11150.0
436;0.0;11255.0
437;0.0;11704.0
438;0.0;12256.0
439;0.0;11785.0
440;0.0;11999.0
441;0.0;11249.0
442;0.5;10665.0
443;1.94090909;11609.0
444;0.0;11121.0
445;0.0;11744.0
446;0.0;11379.0
447;0.0;10702.0
448;0.0;10328.0
449;1.0;10683.0
450;0.0;10492.0
451;0.0;10107.0
452;0.5;10443.0
453;0.0;11288.0
454;0.0;11245.0
455;0.0;11427.0
456;1.0;10666.0
457;2.083333332;10247.0
458;0.0;10609.0
459;3.0;10163.0
460;0.5;9977.0
461;0.0;9912.0
462;0.0;9861.0
463;0.0;10584.0
464;0.0;11424.0
465;0.0;9528.0
466;0.0;9615.0
467;0.0;10330.0
468;0.0;10836.0
469;0.0;10399.0
470;0.0;9850.0
471;0.0;9475.0
472;0.0;9470.0
473;1.0;9183.0
474;1.0;9974.0
475;0.0;9496.0
476;0.0;9808.0
477;0.0;9900.0
478;0.0;9394.0
479;0.0;9239.0
480;0.0;9186.0
481;0.0;9000.0
482;0.0;9361.0
483;0.0;9427.0
484;1.583333332;9217.0
485;0.0;9327.0
486;0.5;9328.0
487;0.0;8692.0
488;0.677777778;9370.0
489;0.5;9074.0
490;1.0;8846.0
491;0.0;9106.0
492;1.976190476;8157.0
493;0.0;8980.0
494;0.0;8635.0
495;1.0;9432.0
496;0.733333334;7901.0
497;0.0;9689.0
498;0.0;8535.0
499;0.0;8651.0
500;0.0;8402.0
501;1.0;8273.0
502;1.866666666;9173.0
503;0.0;8302.0
504;0.0;8676.0
505;0.0;8825.0
506;0.0;8680.0
507;0.0;7763.0
508;0.0;8041.0
509;0.0;8200.0
510;0.0;8602.0
511;1.263492064;8122.0
512;0.0;8573.0
513;1.0;8742.0
514;0.0;8089.0
515;1.0;8076.0
516;0.0;8341.0
517;0.5;8123.0
518;0.0;8166.0
519;0.0;8434.0
520;1.0;8448.0
521;0.0;8384.0
