bv2022;libelle;dep;region;lat;lon;population;nb_docteurs_pondere;densite_100k
85151;Mortagne-sur-Sèvre;85;Pays de la Loire;46.96041089436815;-0.9637130194278977;18266.0;0.0;0.0
85152;Les Achards;85;Pays de la Loire;46.60561937047445;-1.633181681020856;11344.0;0.0;0.0
85156;Moutiers-les-Mauxfaits;85;Pays de la Loire;46.50264982823588;-1.3814413726202939;8958.0;1.4;15.628488501897746
85163;Noirmoutier-en-l'Île;85;Pays de la Loire;46.978108137955;-2.23227544680711;9342.0;1.0;10.704345964461572
85178;Le Poiré-sur-Vie;85;Non renseigné;46.762087848628546;-1.5051103472259197;10660.0;0.0;0.0
85182;Pouzauges;85;Pays de la Loire;46.780544703295995;-0.8645387500078052;22698.0;0.0;0.0
85191;La Roche-sur-Yon;85;Pays de la Loire;46.64370400650799;-1.3586445236530988;108874.0;6.499999999;5.9702040882120615
85194;Les Sables-d'Olonne;85;Pays de la Loire;46.548128552914235;-1.7481784031396315;59578.0;5.8;9.735137131155795
85215;Saint-Fulgent;85;Pays de la Loire;46.851576383517354;-1.160419048932437;7753.0;0.0;0.0
85223;Saint-Jean-d'Hermine;85;Pays de la Loire;46.56468471350168;-1.0454415310129332;7055.0;0.0;0.0
85226;Saint-Hilaire-de-Riez;85;Pays de la Loire;46.710225871728284;-1.8328135131452024;42927.0;1.4;3.261350665082582
85234;Saint-Jean-de-Monts;85;Pays de la Loire;46.814563275923405;-2.0390089270386333;13568.0;0.0;0.0
85288;Talmont-Saint-Hilaire;85;Pays de la Loire;46.4695559979976;-1.5579518747032097;23128.0;0.0;0.0
85294;La Tranche-sur-Mer;85;Pays de la Loire;46.39436392763588;-1.3938108507727425;7264.0;0.0;0.0
86066;Châtellerault;86;Nouvelle-Aquitaine;46.81476621004648;0.6930173252135785;76462.0;1.5;1.961758782140148
86070;Chauvigny;86;Nouvelle-Aquitaine;46.57274442560377;0.6631973356029703;17241.0;0.0;0.0
86078;Civray;86;Nouvelle-Aquitaine;46.15246289774137;0.39178603987347393;12757.0;0.0;0.0
86082;Valence-en-Poitou;86;Nouvelle-Aquitaine;46.27666563312411;0.19449559565055;8892.0;0.0;0.0
86092;Dangé-Saint-Romain;86;Nouvelle-Aquitaine;46.95367912556227;0.5597616471747993;6702.0;0.0;0.0
86103;Gençay;86;Nouvelle-Aquitaine;46.32386604177513;0.43171794235678107;8957.0;0.0;0.0
86112;L'Isle-Jourdain;86;Nouvelle-Aquitaine;46.231189264794104;0.7216808739909045;3905.0;0.0;0.0
86128;Lencloître;86;Nouvelle-Aquitaine;46.846730800712784;0.3057367898611427;6948.0;0.0;0.0
86137;Loudun;86;Nouvelle-Aquitaine;47.00775799581264;0.07483624815456517;17902.0;0.0;0.0
86139;Lusignan;86;Nouvelle-Aquitaine;46.420761318930374;0.09329865296281034;10634.0;0.0;0.0
86140;Lussac-les-Châteaux;86;Nouvelle-Aquitaine;46.38169449468347;0.6830249738210639;10221.0;0.0;0.0
86165;Montmorillon;86;Nouvelle-Aquitaine;46.40332412509468;0.9674957293545603;11387.0;0.0;0.0
86177;Neuville-de-Poitou;86;Nouvelle-Aquitaine;46.771671154277364;0.182348946128271;25416.0;0.0;0.0
86194;Poitiers;86;Nouvelle-Aquitaine;46.55990093548637;0.34839468011065694;194485.0;19.499999999;10.026480190760212
86293;Vivonne;86;Nouvelle-Aquitaine;46.427086399194025;0.24924156675100428;7757.0;0.0;0.0
86294;Vouillé;86;Nouvelle-Aquitaine;46.639810953860135;0.10870287232070469;12927.0;0.0;0.0
87001;Aixe-sur-Vienne;87;Nouvelle-Aquitaine;45.7816936695761;1.0776359441362076;14311.0;0.0;0.0
87002;Ambazac;87;Nouvelle-Aquitaine;45.99045437066101;1.4793617482856312;10914.0;0.0;0.0
87011;Bellac;87;Nouvelle-Aquitaine;46.18821746624135;1.026962800368108;17091.0;1.263492064;7.39273339184366
87014;Bessines-sur-Gartempe;87;Nouvelle-Aquitaine;46.12213861053159;1.3015706312841138;9138.0;0.0;0.0
87032;Châlus;87;Nouvelle-Aquitaine;45.63932951556723;0.9924390194369159;6425.0;0.0;0.0
87064;Eymoutiers;87;Nouvelle-Aquitaine;45.65015633372911;1.8058234381289726;15937.0;0.5;3.1373533287318818
87085;Limoges;87;Nouvelle-Aquitaine;45.793724554622834;1.3073369694524122;237463.0;14.740476193;6.20748335235384
87106;Nexon;87;Nouvelle-Aquitaine;45.66864344528648;1.1802187285475267;5866.0;0.0;0.0
87126;Rochechouart;87;Nouvelle-Aquitaine;45.75329959987597;0.8458735526952147;14570.0;0.0;0.0
87154;Saint-Junien;87;Nouvelle-Aquitaine;45.94302585337662;0.9286042107761057;23483.0;4.757936509;20.261195371119534
87161;Saint-Léonard-de-Noblat;87;Nouvelle-Aquitaine;45.84782887296545;1.5493902636180923;11000.0;0.5;4.545454545454545
87187;Saint-Yrieix-la-Perche;87;Nouvelle-Aquitaine;45.513023893307164;1.1924252136788185;15061.0;1.816666667;12.062058741119449
88075;La Bresse;88;Grand Est;47.978385869838085;6.877436596273754;10406.0;0.0;0.0
88078;Bruyères;88;Grand Est;48.20028041026264;6.74283482699991;15245.0;0.0;0.0
88090;Charmes;88;Grand Est;48.41578049263419;6.3108286659065875;18932.0;0.0;0.0
88114;Contrexéville;88;Grand Est;48.14239722556059;5.806277579161857;10920.0;0.333333333;3.0525030494505496
88160;Épinal;88;Grand Est;48.205348838910524;6.403774215319773;87747.0;6.0;6.837840609935383
88181;Fraize;88;Grand Est;48.154535629957984;6.951084512707779;11449.0;0.0;0.0
88196;Gérardmer;88;Grand Est;48.07751899871078;6.868654605303938;11137.0;0.0;0.0
88304;Mirecourt;88;Grand Est;48.273253785549194;6.139541195342492;18002.0;0.0;0.0
88321;Neufchâteau;88;Grand Est;48.359263621945495;5.63930073449676;31230.0;0.0;0.0
88367;Rambervillers;88;Grand Est;48.35537934162412;6.615461587204813;13801.0;0.0;0.0
88372;Raon-l'Étape;88;Grand Est;48.43841551347583;6.9336216663774515;23190.0;0.0;0.0
88383;Remiremont;88;Grand Est;48.06549961324979;6.606102786582844;36048.0;2.5;6.935197514425211
88408;Rupt-sur-Moselle;88;Grand Est;47.90245941031227;6.623598140827289;4152.0;0.0;0.0
88413;Saint-Dié-des-Vosges;88;Grand Est;48.275351886875285;6.969903335537535;38899.0;1.142857143;2.938011627548266
88468;Le Thillot;88;Grand Est;47.86308565667695;6.7738078631738725;12189.0;0.0;0.0
88486;Vagney;88;Grand Est;48.01129723594231;6.768831777322686;6934.0;0.0;0.0
88487;Le Val-d'Ajol;88;Grand Est;47.943048582873466;6.517103084470038;4149.0;0.0;0.0
